School Number,School Name,Lattitude,Longitude
0010,ABRAHAM LINCOLN HIGH SCHOOL,39.675255,-105.025067
0011,ACADEMY CHARTER SCHOOL,39.384588,-104.870098
0012,ACRES GREEN ELEMENTARY SCHOOL,39.616905,-105.014519
0014,GLACIER PEAK ELEMENTARY SCHOOL,39.915606,-104.917275
0015,ACADEMY OF CHARTER SCHOOLS,39.874071,-105.034481
0016,FOX HOLLOW ELEMENTARY SCHOOL,39.601514,-104.781023
0017,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,38.952227,-104.761404
0018,LIBERTY MIDDLE SCHOOL,39.579882,-104.736741
0019,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,38.96195,-104.764848
0020,ADAMS CITY MIDDLE SCHOOL,39.827238,-104.935624
0024,ADAMS CITY HIGH SCHOOL,39.828272,-104.903301
0025,SKY VIEW MIDDLE SCHOOL,38.304835,-104.77905
0026,DESERT SAGE ELEMENTARY SCHOOL,38.303089,-104.753081
0029,ADULT & FAMILY LITERACY,38.79607,-104.79385
0030,ADAMS ELEMENTARY SCHOOL,39.869796,-105.066416
0035,FRONTIER CHARTER ACADEMY,39.036173,-104.293585
0037,RED HILL ELEMENTARY SCHOOL,39.622515,-106.949639
0038,BRUSH CREEK ELEMENTARY SCHOOL,39.63807,-106.829959
0039,GYPSUM CREEK MIDDLE SCHOOL,39.624153,-106.954169
0042,ASPEN COMMUNITY CHARTER SCHOOL,39.273911,-106.88689
0044,AGATE ELEMENTARY SCHOOL,39.462598,-103.941944
0048,AGATE JUNIOR-SENIOR HIGH SCHOOL,39.462598,-103.941944
0050,RICO ELEMENTARY SCHOOL,37.692459,-108.031485
0052,HEIMAN ELEMENTARY SCHOOL,40.38124,-104.748743
0053,WINOGRAD K-8 ELEMENTARY SCHOOL,40.439053,-104.792082
0054,ROMERO ELEMENTARY SCHOOL,40.406487,-104.656599
0055,GRANDVIEW ELEMENTARY SCHOOL,40.485257,-104.93112
0056,FOWLER ELEMENTARY SCHOOL,38.127238,-104.030551
0057,ROCKY TOP MIDDLE SCHOOL,39.951639,-104.959334
0058,AGUILAR ELEMENTARY SCHOOL,37.404979,-104.653172
0059,MERIDIAN ELEMENTARY SCHOOL,39.954934,-105.020466
0060,LEGACY ELEMENTARY SCHOOL,40.113585,-104.966171
0061,ALPINE ELEMENTARY SCHOOL,40.194451,-105.085443
0063,PEAKVIEW SCHOOL,37.632659,-104.791869
0065,COAL RIDGE HIGH SCHOOL,39.55154,-107.597649
0066,AGUILAR JUNIOR-SENIOR HIGH SCHOOL,37.404979,-104.653172
0070,ADAMS12 FIVE STAR PRESCHOOL,39.928464,-104.968496
0071,ASPEN RIDGE PREPATORY SCHOOL,40.032919,-105.051538
0074,CHALLENGER MIDDLE SCHOOL,38.979802,-104.775987
0075,ANIMAS HIGH SCHOOL,37.300815,-107.870808
0076,AIR ACADEMY HIGH SCHOOL,39.645908,-106.387421
0086,AKRON ELEMENTARY SCHOOL,40.163168,-103.209919
0090,AKRON HIGH SCHOOL,40.164294,-103.206019
0108,ALAMEDA HIGH SCHOOL,39.69369,-105.081587
0109,ARVADA K-8,39.800992,-105.088503
0110,ACADEMY ONLINE HIGH SCHOOL,38.954548,-104.792051
0114,ORTEGA MIDDLE SCHOOL,37.47703,-105.885589
0115,ALAMOSA ELEMENTARY SCHOOL,37.462314,-105.884892
0118,ALAMOSA HIGH SCHOOL,37.482963,-105.89364
